epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.182,1.26339,1.07146,1.14955,0.73435,0.6337,0.69432,0.44127,1.16559,1.01898,1.13387,0.000369313,0.000369313,0.000369313
2,709.046,1.22096,0.82966,1.13579,0.71898,0.69998,0.7382,0.47529,1.15128,0.78377,1.10956,0.000666421,0.000666421,0.000666421
3,1056.96,1.1867,0.76923,1.11204,0.7583,0.73492,0.77868,0.5287,1.10546,0.74377,1.08738,0.000890204,0.000890204,0.000890204
4,1404.09,1.13972,0.70838,1.09121,0.82605,0.72408,0.81806,0.54918,1.09497,0.68436,1.09044,0.000781033,0.000781033,0.000781033
5,1751.22,1.09054,0.65008,1.06611,0.83042,0.8013,0.85808,0.58306,1.06357,0.62257,1.05985,0.000671044,0.000671044,0.000671044
6,2098.33,1.04624,0.59702,1.03962,0.83572,0.82405,0.87545,0.61291,1.01223,0.60812,1.02719,0.000561055,0.000561055,0.000561055
7,2445.6,1.0039,0.55902,1.01685,0.86928,0.84024,0.89647,0.63808,0.98069,0.55133,1.02554,0.000451066,0.000451066,0.000451066
8,2792.56,0.95698,0.52103,0.99712,0.86274,0.84708,0.89834,0.65399,0.95291,0.5267,1.0135,0.000341077,0.000341077,0.000341077
9,3139.75,0.90734,0.48408,0.97619,0.90018,0.85067,0.91644,0.68031,0.92166,0.49928,1.00464,0.000231088,0.000231088,0.000231088
10,3486.99,0.85919,0.44801,0.95614,0.90438,0.86646,0.92413,0.69601,0.90332,0.48227,0.99427,0.000121099,0.000121099,0.000121099
