epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.662,1.24815,1.05021,1.21481,0.70069,0.66231,0.70718,0.45229,1.14576,0.84362,1.20405,0.000369313,0.000369313,0.000369313
2,970.356,1.20427,0.82549,1.19156,0.69006,0.54599,0.59582,0.36176,1.26052,0.97335,1.25925,0.000666421,0.000666421,0.000666421
3,1419.86,1.16766,0.75594,1.16411,0.77152,0.70527,0.76357,0.51593,1.09561,0.75275,1.15796,0.000890204,0.000890204,0.000890204
4,1869.09,1.11393,0.68398,1.13668,0.77221,0.72039,0.77958,0.52157,1.09441,0.68414,1.13944,0.000781033,0.000781033,0.000781033
5,2318.37,1.06188,0.62514,1.10287,0.83087,0.75918,0.84326,0.57779,1.03485,0.61529,1.11695,0.000671044,0.000671044,0.000671044
6,2767.66,1.01531,0.57518,1.07717,0.84844,0.80642,0.86736,0.61035,0.99191,0.58826,1.08832,0.000561055,0.000561055,0.000561055
7,3216.64,0.96253,0.53114,1.04959,0.86534,0.79082,0.86916,0.6222,0.9642,0.55854,1.07773,0.000451066,0.000451066,0.000451066
8,3665.62,0.91467,0.4942,1.02373,0.87788,0.84519,0.90222,0.65853,0.94261,0.52627,1.05987,0.000341077,0.000341077,0.000341077
9,4114.49,0.86198,0.45371,0.99947,0.8716,0.87188,0.9128,0.67952,0.90584,0.49323,1.04679,0.000231088,0.000231088,0.000231088
10,4563.44,0.81044,0.4189,0.97685,0.87943,0.88517,0.92198,0.69986,0.8831,0.46434,1.03743,0.000121099,0.000121099,0.000121099
